8
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.48 ,tof_t2 , 0.00 , TOF,-54.48
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.45 ,tof_t2 , 0.00 , TOF,-54.45
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.46 ,tof_t2 , 0.00 , TOF,-54.46
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.10 ,tof_t2 , 0.00 , TOF,-54.10
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.45 ,tof_t2 , 0.00 , TOF,-54.45
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.47 ,tof_t2 , 0.00 , TOF,-54.47
tof_t1 , 54.23 ,tof_t2 , 0.00 , TOF,-54.23
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.26 ,tof_t2 , 0.00 , TOF,-54.26
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.46 ,tof_t2 , 0.00 , TOF,-54.46
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.25 ,tof_t2 , 0.00 , TOF,-54.25
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.25 ,tof_t2 , 0.00 , TOF,-54.25
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.42 ,tof_t2 , 0.00 , TOF,-54.42
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.42 ,tof_t2 , 0.00 , TOF,-54.42
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.44 ,tof_t2 , 0.00 , TOF,-54.44
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.43 ,tof_t2 , 0.00 , TOF,-54.43
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.46 ,tof_t2 , 0.00 , TOF,-54.46
tof_t1 , 54.14 ,tof_t2 , 0.00 , TOF,-54.14
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.36 ,tof_t2 , 0.00 , TOF,-54.36
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.37 ,tof_t2 , 0.00 , TOF,-54.37
tof_t1 , 54.41 ,tof_t2 , 0.00 , TOF,-54.41
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.28 ,tof_t2 , 0.00 , TOF,-54.28
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.29 ,tof_t2 , 0.00 , TOF,-54.29
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.27 ,tof_t2 , 0.00 , TOF,-54.27
tof_t1 , 54.39 ,tof_t2 , 0.00 , TOF,-54.39
tof_t1 , 54.30 ,tof_t2 , 0.00 , TOF,-54.30
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.35 ,tof_t2 , 0.00 , TOF,-54.35
tof_t1 , 54.33 ,tof_t2 , 0.00 , TOF,-54.33
tof_t1 , 54.34 ,tof_t2 , 0.00 , TOF,-54.34
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.31 ,tof_t2 , 0.00 , TOF,-54.31
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.38 ,tof_t2 , 0.00 , TOF,-54.38
tof_t1 , 54.40 ,tof_t2 , 0.00 , TOF,-54.40
tof_t1 , 54.32 ,tof_t2 , 0.00 , TOF,-54.32
tof_t1 , 54.42 ,tof_t2 , 0.00 , TOF,-54.42
